Id,Name,Duration,Topic,Interaction_name,Question_number,Dificult,Question,Exp_ans,Under_ans,Sup_ans,Sys_ans,Sys_was,Time_to_answer
18277.0,None,0.0,Teste,first,1.0,3.0,What is HRI?,Human-Robot Interaction,robot human interaction,1.0,1.0,1.0,7.071022987365723
18277.0,None,0.0,Teste,first,2.0,3.0,What is HRI?,Human-Robot Interaction,huma,0.0,0.0,1.0,4.252906084060669
18277.0,None,0.0,Teste,first,3.0,2.0,How many robots are in the Demo Room?,5,5,1.0,1.0,1.0,12.297064065933228
19001.0,None,0.0,Teste,first,1.0,3.0,What is HRI?,Human-Robot Interaction,human robot interaction,1.0,1.0,1.0,5.512355089187622
19001.0,None,0.0,Teste,first,2.0,4.0,Who is the real ruler of the GAIPS?,Sandra,Sandra,1.0,1.0,1.0,2.3091299533843994
19001.0,None,0.0,Teste,first,3.0,5.0,What is the size of the coffee capsules?,SMALL!,fdsa,0.0,0.0,1.0,4.246078014373779
