,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,"117,00",,,,,,"117,00"
,,,,,,"54,00","7,00","0,00","61,00",,,"53,00","3,00","5,00","61,00"
,,,,,,"10,00","2,00","1,00","13,00",,,"11,00","1,00","1,00","13,00"
,,,,,,"10,00","9,00","24,00","43,00",,,"12,00","2,00","29,00","43,00"
,,,,,Rec,"0,73","0,11","0,96","0,60",,Rec,"0,70","0,17","0,83","0,56"
,,,,,Pre,"0,89","0,15","0,56","0,53",,Pre,"0,87","0,08","0,67","0,54"
,,,,,F-1,"0,80","0,13","0,71","0,54",,F-1,"0,77","0,11","0,74","0,54"
