class,knn_hst,knn_pxl,mlp_hst,mlp_pxl,svm_hst,svm_pxl,ensemble_hst,ensemble_pxl,ensemble_all
1,1_1.0,1_1.0,1_0.999880664064,0_1.0,1_0.978754011271,1_0.9030226755,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999901134664,0_1.0,1_0.979157218399,1_0.898097959581,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999755377492,0_1.0,1_0.974820459182,1_0.913860607443,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999534404013,0_1.0,1_0.97443529775,1_0.922778150953,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999741253294,0_1.0,1_0.975205613938,1_0.902119672472,1_1.0,1_0.666666666667,1_0.833333333333
1,0_1.0,0_1.0,0_0.999292733819,0_1.0,0_0.957377216016,0_0.991292174764,0_1.0,0_1.0,0_1.0
1,0_1.0,0_1.0,0_0.999428811874,0_1.0,0_0.939253838335,0_0.978058976896,0_1.0,0_1.0,0_1.0
1,0_1.0,0_1.0,0_0.999904841963,0_1.0,0_0.973035124043,0_0.949963872478,0_1.0,0_1.0,0_1.0
