class,knn_hst,knn_pxl,mlp_hst,mlp_pxl,svm_hst,svm_pxl,ensemble_hst,ensemble_pxl,ensemble_all
2,2_1.0,2_1.0,2_0.999701817077,1_1.0,2_0.98678789844,2_0.96724222005,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.999707519563,1_1.0,2_0.98679543298,2_0.965059951195,2_1.0,2_0.666666666667,2_0.833333333333
0,0_1.0,0_1.0,0_0.999937967342,1_1.0,0_0.988433792166,0_0.988835804429,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999943015522,1_1.0,0_0.98911154317,0_0.987933451182,0_1.0,0_0.666666666667,0_0.833333333333
1,1_1.0,1_1.0,1_0.999705768588,1_1.0,1_0.97834919953,1_0.919748000684,1_1.0,1_1.0,1_1.0
1,1_1.0,1_1.0,1_0.999764003385,1_1.0,1_0.977421015552,1_0.87152284061,1_1.0,1_1.0,1_1.0
